,Album,Artist,Song
66928,Who You Selling For,The Pretty Reckless,Back To The River
73120,Who You Selling For,The Pretty Reckless,Who You Selling For
58428,Who You Selling For,The Pretty Reckless,Bedroom Window
60008,Who You Selling For,The Pretty Reckless,Living in The Storm
18982,Where The Light Shines Through,Switchfoot,Where The Light Shines Through
19527,Where The Light Shines Through,Switchfoot,I Won't Let You Go
63,Where The Light Shines Through,Switchfoot,The Day That I Found God
44643,Where The Light Shines Through,Switchfoot,Shake This Feeling
84056,Where The Light Shines Through,Switchfoot,Bull In A China Shop
88803,Where The Light Shines Through,Switchfoot,Hope Is The Anthem
60386,Where The Light Shines Through,Switchfoot,Begin Forever
17472,Stay Together,Kaiser Chiefs,We Stay Together
73556,Stay Together,Kaiser Chiefs,Good Clean Fun
57994,Stay Together,Kaiser Chiefs,Why Do You Do It To Me?
70527,Stay Together,Kaiser Chiefs,Indoor Firework
96691,Stay Together,Kaiser Chiefs,Happen In A Heartbeat
41654,Stay Together,Kaiser Chiefs,Still Waiting
49733,Believe,A War Within,A New Hope
41321,Believe,A War Within,Betrayal
47837,Believe,A War Within,We Are Legion
62307,Believe,A War Within,Slave
1986,Believe,A War Within,No Matter What
70775,Got Your Six,Five Finger Death Punch,Ain't My Last Dance
680,Got Your Six,Five Finger Death Punch,No Sudden Movement
78046,Got Your Six,Five Finger Death Punch,Question Everything
74823,Got Your Six,Five Finger Death Punch,Hell To Pay
71451,Got Your Six,Five Finger Death Punch,Meet My Maker
46212,Got Your Six,Five Finger Death Punch,This Is My War
78611,Got Your Six,Five Finger Death Punch,I Apologize
55489,Home,Blue October,Coal Makes Diamonds
74971,Home,Blue October,Driver
65722,Home,Blue October,I Want It
54660,Home,Blue October,Home
20890,Home,Blue October,Break Ground
20002,Collapse,Dangerkids,countdown
57409,Collapse,Dangerkids,light escapes
64903,Collapse,Dangerkids,waking up
11059,Collapse,Dangerkids,where the sky breaks
5785,Exodus,Shokran,The Swarm
16309,Exodus,Shokran,Praise the Stench
24773,Exodus,Shokran,And Heaven Began to Fall
34253,Exodus,Shokran,Firstborn
56978,Dark Sky Island,Enya,I Could Never Say Goodbye
65409,Dark Sky Island,Enya,Sancta Maria
91776,Dark Sky Island,Enya,Diamonds On The Water
79178,Battles,In Flames,Drained
71140,Battles,In Flames,Like Sand
37080,Battles,In Flames,In My Room
7559,Battles,In Flames,Through My Eyes
42213,Battles,In Flames,Here Until Forever
21509,Battles,In Flames,Save Me
43949,Battles,In Flames,Us Against the World
223,Hardwired... To Self-Destruct,Metallica,Now That We're Dead
68125,Hardwired... To Self-Destruct,Metallica,Dream No More
34879,Hardwired... To Self-Destruct,Metallica,Halo On Fire
33495,Hardwired... To Self-Destruct,Metallica,Confusion
2835,Hardwired... To Self-Destruct,Metallica,Am I Savage?
91598,Hardwired... To Self-Destruct,Metallica,Murder One
63249,I-Empire,Angels & Airwaves,Breathe
71043,I-Empire,Angels & Airwaves,Love Like Rockets
29147,I-Empire,Angels & Airwaves,Sirens
35712,I-Empire,Angels & Airwaves,Star of Bethlehem
18414,I-Empire,Angels & Airwaves,True Love
88096,I-Empire,Angels & Airwaves,Jumping Rooftops
81248,I-Empire,Angels & Airwaves,Rite Of Spring
76026,We Don't Need To Whisper,Angels & Airwaves,Do It For Me Now
73975,We Don't Need To Whisper,Angels & Airwaves,It Hurts
28599,We Don't Need To Whisper,Angels & Airwaves,Good Day
64672,We Don't Need To Whisper,Angels & Airwaves,Start The Machine
42420,Love,Angels & Airwaves,Et Ducit Mundum Per Luce
21193,Love,Angels & Airwaves,The Flight of Apollo
93887,Love,Angels & Airwaves,Young London
40189,Love,Angels & Airwaves,Epic Holiday
906,Love,Angels & Airwaves,The Moon-Atomic
8735,Love,Angels & Airwaves,Clever Love
64917,Love,Angels & Airwaves,Some Origins of Fire
41264,Love Part Two,Angels & Airwaves,Crawl
1229,Love Part Two,Angels & Airwaves,Moon As My Witness
70923,Love Part Two,Angels & Airwaves,Dry Your Eyes
19899,Love Part Two,Angels & Airwaves,The Revelator
29089,Love Part Two,Angels & Airwaves,One Last Thing
23272,Love Part Two,Angels & Airwaves,Inertia
17882,Love Part Two,Angels & Airwaves,Behold a Pale Horse
32197,"To the Stars... Demos, Odds and Ends",Tom DeLonge,An Endless Summer
92592,"To the Stars... Demos, Odds and Ends",Tom DeLonge,Circle-Jerk-Pit
81305,"To the Stars... Demos, Odds and Ends",Tom DeLonge,Landscapes
89741,"To the Stars... Demos, Odds and Ends",Tom DeLonge,Animals
48359,"To the Stars... Demos, Odds and Ends",Tom DeLonge,Golden Showers in the Golden State
27461,Chaos,Attila,Public Apology
36900,Chaos,Attila,Moshpit
98514,Chaos,Attila,Rise Up
24526,Chaos,Attila,Legend
76609,Bad Omens,Bad Omens,Exit Wounds
40602,Bad Omens,Bad Omens,F E R A L
13955,Bad Omens,Bad Omens,Malice
21524,Bad Omens,Bad Omens,Broken Youth
75389,Bad Omens,Bad Omens,Crawl
42882,Bad Omens,Bad Omens,The Letdown
62331,Unimagined Bridges,Driver Friendly,The Game (This Won't Hurt)
16751,Unimagined Bridges,Driver Friendly,Stand So Tall
22534,Unimagined Bridges,Driver Friendly,Deconstruct You
45291,Unimagined Bridges,Driver Friendly,Undone
44837,Unimagined Bridges,Driver Friendly,The Conversation
14050,Unimagined Bridges,Driver Friendly,Start Again
17217,Unimagined Bridges,Driver Friendly,What A Predicament!
